sep=,
"Time","max","avg","min"
2020-10-02 21:04:00,92,79.6,73
2020-10-02 21:06:00,89,79.6,74
2020-10-02 21:08:00,84,80.4,74
2020-10-02 21:10:00,130,81.3,73
2020-10-02 21:12:00,86,79.2,75
2020-10-02 21:14:00,83,78.8,74
2020-10-02 21:16:00,92,80.4,77
2020-10-02 21:18:00,95,79.4,73
2020-10-02 21:20:00,85,79.7,76
2020-10-02 21:22:00,130,82.1,75
2020-10-02 21:24:00,86,80.4,74
2020-10-02 21:26:00,91,79.5,75
2020-10-02 21:28:00,90,80.7,74
2020-10-02 21:30:00,95,80.1,73
2020-10-02 21:32:00,86,79,73
2020-10-02 21:34:00,92,80.2,75
2020-10-02 21:36:00,87,79.2,73
2020-10-02 21:38:00,85,78.6,73
2020-10-02 21:40:00,88,79.4,74
2020-10-02 21:42:00,90,79.5,74
2020-10-02 21:44:00,92,79.2,73
2020-10-02 21:46:00,92,80.2,75
2020-10-02 21:48:00,95,79.7,72
2020-10-02 21:50:00,84,79.2,75
2020-10-02 21:52:00,85,78.9,75
2020-10-02 21:54:00,87,78.8,73
2020-10-02 21:56:00,86,79.5,72
2020-10-02 21:58:00,88,78.9,75
2020-10-02 22:00:00,89,79.7,73
2020-10-02 22:02:00,85,79.5,73
2020-10-02 22:04:00,85,79.0,73
2020-10-02 22:06:00,88,80.6,73
2020-10-02 22:08:00,87,79.0,74
2020-10-02 22:10:00,86,78.8,72
2020-10-02 22:12:00,94,80.6,75
2020-10-02 22:14:00,112,80.4,74
2020-10-02 22:16:00,87,80.2,74
2020-10-02 22:18:00,127,82.9,71
2020-10-02 22:20:00,91,78.9,73
2020-10-02 22:22:00,88,78.7,74
2020-10-02 22:24:00,87,79.1,74
2020-10-02 22:26:00,88,79.1,74
2020-10-02 22:28:00,137,82,74
2020-10-02 22:30:00,83,79.6,76
2020-10-02 22:32:00,88,79.9,75
2020-10-02 22:34:00,89,80.7,76
2020-10-02 22:36:00,92,79.9,74
2020-10-02 22:38:00,88,79.5,72
2020-10-02 22:40:00,95,79.5,74
2020-10-02 22:42:00,92,80.1,74
2020-10-02 22:44:00,88,80.4,75
2020-10-02 22:46:00,90,78.2,69
2020-10-02 22:48:00,86,79.3,75
2020-10-02 22:50:00,131,82,75
2020-10-02 22:52:00,91,80.4,73
2020-10-02 22:54:00,84,78.8,75
2020-10-02 22:56:00,89,81.0,75
2020-10-02 22:58:00,89,78.4,72
2020-10-02 23:00:00,88,79.7,73
2020-10-02 23:02:00,90,79.4,73
2020-10-02 23:04:00,138,81.9,73
2020-10-02 23:06:00,130,80.8,70
2020-10-02 23:08:00,92,79.4,74
2020-10-02 23:10:00,91,79.4,73
2020-10-02 23:12:00,102,80.7,75
2020-10-02 23:14:00,88,79.4,71
2020-10-02 23:16:00,137,82.3,76
2020-10-02 23:18:00,87,78.8,75
2020-10-02 23:20:00,83,78.6,70
2020-10-02 23:22:00,134,82.9,76
2020-10-02 23:24:00,84,78.5,72
2020-10-02 23:26:00,137,81.3,72
2020-10-02 23:28:00,92,79.6,74
2020-10-02 23:30:00,88,80,74
2020-10-02 23:32:00,89,80.0,76
2020-10-02 23:34:00,86,78.8,71
2020-10-02 23:36:00,90,80,74
2020-10-02 23:38:00,92,80.2,74
2020-10-02 23:40:00,89,79.3,73
2020-10-02 23:42:00,92,80.6,75
2020-10-02 23:44:00,135,82.8,74
2020-10-02 23:46:00,136,82.5,74
2020-10-02 23:48:00,91,79.3,73
2020-10-02 23:50:00,85,80.2,74
2020-10-02 23:52:00,84,78.2,75
2020-10-02 23:54:00,88,79.9,75
2020-10-02 23:56:00,133,82.0,75
2020-10-02 23:58:00,144,84.3,73
2020-10-03 00:00:00,100,80.5,74
2020-10-03 00:02:00,87,78.8,74
2020-10-03 00:04:00,86,79.7,76
2020-10-03 00:06:00,89,80.4,75
2020-10-03 00:08:00,90,79.3,73
2020-10-03 00:10:00,85,79.0,74
2020-10-03 00:12:00,84,77.8,74
2020-10-03 00:14:00,92,80.4,75
2020-10-03 00:16:00,130,80.2,73
2020-10-03 00:18:00,87,79.2,75
2020-10-03 00:20:00,85,79.0,73
2020-10-03 00:22:00,97,79.5,74
2020-10-03 00:24:00,91,81,75
2020-10-03 00:26:00,91,81.3,74
2020-10-03 00:28:00,98,80.0,72
2020-10-03 00:30:00,94,81.4,76
2020-10-03 00:32:00,87,79.9,73
2020-10-03 00:34:00,92,78.6,73
2020-10-03 00:36:00,94,79.8,73
2020-10-03 00:38:00,89,78.2,72
2020-10-03 00:40:00,92,80.9,75
2020-10-03 00:42:00,128,83.2,73
2020-10-03 00:44:00,91,78.9,73
2020-10-03 00:46:00,89,79.9,76
2020-10-03 00:48:00,88,79.2,74
2020-10-03 00:50:00,87,79.2,71
2020-10-03 00:52:00,86,78.8,73
2020-10-03 00:54:00,93,80.4,70
2020-10-03 00:56:00,91,79.7,74
2020-10-03 00:58:00,101,80.3,75
2020-10-03 01:00:00,92,79.1,72
2020-10-03 01:02:00,81,77.6,74
2020-10-03 01:04:00,87,78.6,73
2020-10-03 01:06:00,94,80.6,71
2020-10-03 01:08:00,85,77.9,73
2020-10-03 01:10:00,128,81.2,73
2020-10-03 01:12:00,86,78.7,73
2020-10-03 01:14:00,88,80.8,76
2020-10-03 01:16:00,109,80.3,75
2020-10-03 01:18:00,87,79.3,74
2020-10-03 01:20:00,88,78.6,72
2020-10-03 01:22:00,95,81.2,75
2020-10-03 01:24:00,97,81.1,76
2020-10-03 01:26:00,90,78.3,74
2020-10-03 01:28:00,90,79.2,74
2020-10-03 01:30:00,89,78.4,73
2020-10-03 01:32:00,90,79.6,74
2020-10-03 01:34:00,90,79.2,72
2020-10-03 01:36:00,135,82.7,73
2020-10-03 01:38:00,96,79.5,71
2020-10-03 01:40:00,96,80.4,75
2020-10-03 01:42:00,94,79.2,73
2020-10-03 01:44:00,135,82.2,74
2020-10-03 01:46:00,95,79.6,76
2020-10-03 01:48:00,89,79.5,74
2020-10-03 01:50:00,89,80.9,73
2020-10-03 01:52:00,94,79.7,73
2020-10-03 01:54:00,84,78.8,72
2020-10-03 01:56:00,90,79.3,72
2020-10-03 01:58:00,91,80.1,73
2020-10-03 02:00:00,85,78.5,73
2020-10-03 02:02:00,84,78.7,74
2020-10-03 02:04:00,91,80.4,73
2020-10-03 02:06:00,102,79.7,74
2020-10-03 02:08:00,99,80.5,74
2020-10-03 02:10:00,132,84.5,75
2020-10-03 02:12:00,85,78.1,74
2020-10-03 02:14:00,89,80.3,75
2020-10-03 02:16:00,133,83.3,74
2020-10-03 02:18:00,84,78.8,71
2020-10-03 02:20:00,94,80.7,74
2020-10-03 02:22:00,94,80.8,73
2020-10-03 02:24:00,91,80.6,76
2020-10-03 02:26:00,85,79.7,74
2020-10-03 02:28:00,87,79.8,75
2020-10-03 02:30:00,134,83.2,74
2020-10-03 02:32:00,84,80.0,75
2020-10-03 02:34:00,89,79.3,74
2020-10-03 02:36:00,94,80.5,72
